[ILPcarry, ILPblock, ILPjit, inflation, Trinity, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTcarry, CTblock, CTjit, CTmix]
input/30Tasks_300_3_S.npy
[ {'shared-R': 0.31820415106657274, 'deadline': 3.793291450775094, 'period': 3.793291450775094, 'exclusive-R': 1.394418494722995}
 {'shared-R': 0.9012916320997947, 'deadline': 37.407100290963285, 'period': 37.407100290963285, 'exclusive-R': 15.737849647942397}
 {'shared-R': 0.9668592692381631, 'deadline': 7.418340531545425, 'period': 7.418340531545425, 'exclusive-R': 2.7601966630997246}
 {'shared-R': 1.582505557915479, 'deadline': 67.53285144068614, 'period': 67.53285144068614, 'exclusive-R': 24.11398723925879}
 {'shared-R': 0.6210517252197962, 'deadline': 5.8307064441962515, 'period': 5.8307064441962515, 'exclusive-R': 1.7468213153067138}
 {'shared-R': 2.3694114445085135, 'deadline': 16.653917906748532, 'period': 16.653917906748532, 'exclusive-R': 5.098073882190695}
 {'shared-R': 0.1402975178787559, 'deadline': 6.7069510926956415, 'period': 6.7069510926956415, 'exclusive-R': 2.812384188532772}
 {'shared-R': 2.8221374580783003, 'deadline': 65.51264152198591, 'period': 65.51264152198591, 'exclusive-R': 28.018261825766984}
 {'shared-R': 0.7178703120134176, 'deadline': 3.047702992059145, 'period': 3.047702992059145, 'exclusive-R': 0.9172807374765118}
 {'shared-R': 0.4768541069813007, 'deadline': 26.31921718462, 'period': 26.31921718462, 'exclusive-R': 9.188837272901624}
 {'shared-R': 0.21676519386772367, 'deadline': 5.061764995192794, 'period': 5.061764995192794, 'exclusive-R': 2.022957416261878}
 {'shared-R': 2.082505639056565, 'deadline': 16.399448046838216, 'period': 16.399448046838216, 'exclusive-R': 5.708421459095566}
 {'shared-R': 0.11054685882087013, 'deadline': 6.426782341466104, 'period': 6.426782341466104, 'exclusive-R': 2.3506773222643975}
 {'shared-R': 0.27070086799779297, 'deadline': 75.93780773734112, 'period': 75.93780773734112, 'exclusive-R': 26.36514150989118}
 {'shared-R': 0.9045832527624293, 'deadline': 8.786009534651516, 'period': 8.786009534651516, 'exclusive-R': 3.0465251010130086}
 {'shared-R': 5.086876610138282, 'deadline': 90.65608210655678, 'period': 90.65608210655678, 'exclusive-R': 38.159282643557546}
 {'shared-R': 1.0979876790757364, 'deadline': 6.782622257914209, 'period': 6.782622257914209, 'exclusive-R': 2.287968302178645}
 {'shared-R': 6.002774313059852, 'deadline': 92.27404188648167, 'period': 92.27404188648167, 'exclusive-R': 32.61681973214733}
 {'shared-R': 1.0850121669987653, 'deadline': 9.78240755473679, 'period': 9.78240755473679, 'exclusive-R': 2.7160100376370844}
 {'shared-R': 14.1108680426309, 'deadline': 54.90290997768487, 'period': 54.90290997768487, 'exclusive-R': 14.93862079880791}
 {'shared-R': 0.010711557451054475, 'deadline': 3.5215961225067614, 'period': 3.5215961225067614, 'exclusive-R': 1.43169471196552}
 {'shared-R': 6.088004711987, 'deadline': 26.222434658627748, 'period': 26.222434658627748, 'exclusive-R': 8.928060767691603}
 {'shared-R': 0.2533888461397413, 'deadline': 1.9699656332958404, 'period': 1.9699656332958404, 'exclusive-R': 0.5777742356316542}
 {'shared-R': 3.1484239540851164, 'deadline': 84.79322337415537, 'period': 84.79322337415537, 'exclusive-R': 32.29588649797232}
 {'shared-R': 0.11543223617118936, 'deadline': 3.5798231571844954, 'period': 3.5798231571844954, 'exclusive-R': 1.3900846300235437}
 {'shared-R': 9.142196204927567, 'deadline': 87.12251873337301, 'period': 87.12251873337301, 'exclusive-R': 33.21863053739163}
 {'shared-R': 0.5287378195644277, 'deadline': 8.856299732522775, 'period': 8.856299732522775, 'exclusive-R': 3.654341907414235}
 {'shared-R': 4.230944185716899, 'deadline': 15.773002585261855, 'period': 15.773002585261855, 'exclusive-R': 4.7273224687987385}
 {'shared-R': 0.37782630143404733, 'deadline': 3.7520121816467356, 'period': 3.7520121816467356, 'exclusive-R': 1.1604303480613818}
 {'shared-R': 13.569761742244895, 'deadline': 52.08953069914018, 'period': 52.08953069914018, 'exclusive-R': 15.690518124595375}]
total utili:3.0
total utili+exclusive:13.6028180205
[ {'shared-R': 1.2763396645909402, 'deadline': 6.540060522895571, 'period': 6.540060522895571, 'exclusive-R': 2.223718189719163}
 {'shared-R': 1.56559617259807, 'deadline': 17.8999664570887, 'period': 17.8999664570887, 'exclusive-R': 7.139175065569637}
 {'shared-R': 0.39192452489588814, 'deadline': 3.430959195760046, 'period': 3.430959195760046, 'exclusive-R': 1.3504019497072142}
 {'shared-R': 1.1443207740189223, 'deadline': 39.5586124483292, 'period': 39.5586124483292, 'exclusive-R': 17.263177392707505}
 {'shared-R': 0.03616514891971593, 'deadline': 2.6944115664281822, 'period': 2.6944115664281822, 'exclusive-R': 1.1546737479175628}
 {'shared-R': 4.632983004299761, 'deadline': 62.443985500586834, 'period': 62.443985500586834, 'exclusive-R': 19.711025549183056}
 {'shared-R': 0.4944603317048397, 'deadline': 2.2201267945167817, 'period': 2.2201267945167817, 'exclusive-R': 0.6425961601696315}
 {'shared-R': 1.324556103520203, 'deadline': 47.138543297060295, 'period': 47.138543297060295, 'exclusive-R': 18.337255180339447}
 {'shared-R': 0.001411603356560491, 'deadline': 2.613720539730124, 'period': 2.613720539730124, 'exclusive-R': 1.0131598422067343}
 {'shared-R': 13.555043033761446, 'deadline': 86.09232117739008, 'period': 86.09232117739008, 'exclusive-R': 26.190415189759765}
 {'shared-R': 0.6200884681243325, 'deadline': 9.587213078181463, 'period': 9.587213078181463, 'exclusive-R': 3.1678390925039994}
 {'shared-R': 5.5098532706638625, 'deadline': 25.278201852922177, 'period': 25.278201852922177, 'exclusive-R': 8.621160500231445}
 {'shared-R': 0.1913795336195629, 'deadline': 7.6324251792279725, 'period': 7.6324251792279725, 'exclusive-R': 2.5491744784713433}
 {'shared-R': 0.3721028083967601, 'deadline': 39.54464494141177, 'period': 39.54464494141177, 'exclusive-R': 16.815666180918562}
 {'shared-R': 0.16501008513840995, 'deadline': 6.41241986222404, 'period': 6.41241986222404, 'exclusive-R': 2.554100665959038}
 {'shared-R': 11.244482161037684, 'deadline': 47.77652508879919, 'period': 47.77652508879919, 'exclusive-R': 15.443138302192182}
 {'shared-R': 0.939550936497036, 'deadline': 5.376371186538062, 'period': 5.376371186538062, 'exclusive-R': 1.6165055551581444}
 {'shared-R': 0.1630799582397321, 'deadline': 77.21748747677076, 'period': 77.21748747677076, 'exclusive-R': 28.290957558832428}
