[ILPcarry, ILPblock, ILPjit, inflation, Trinity, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTcarry, CTblock, CTjit, CTmix]
input/30Tasks_1200_0_S.npy
[ {'shared-R': 0.03516903787298582, 'deadline': 3.8751786744546584, 'period': 3.8751786744546584, 'exclusive-R': 1.254633078804858}
 {'shared-R': 24.56414124959105, 'deadline': 68.03628214898612, 'period': 68.03628214898612, 'exclusive-R': 14.378657317441629}
 {'shared-R': 0.9781093654669974, 'deadline': 3.6045705764162923, 'period': 3.6045705764162923, 'exclusive-R': 1.109093314196579}
 {'shared-R': 31.685162237655835, 'deadline': 48.19091121043854, 'period': 48.19091121043854, 'exclusive-R': 6.70030607870019}
 {'shared-R': 1.9150846859124835, 'deadline': 5.8021740253475595, 'period': 5.8021740253475595, 'exclusive-R': 1.4368410174946695}
 {'shared-R': 11.994920885954564, 'deadline': 36.19123479577617, 'period': 36.19123479577617, 'exclusive-R': 7.636256673180063}
 {'shared-R': 1.5291717624556556, 'deadline': 2.612652080337905, 'period': 2.612652080337905, 'exclusive-R': 0.43912971312032145}
 {'shared-R': 2.1918694363874383, 'deadline': 12.78757259625898, 'period': 12.78757259625898, 'exclusive-R': 4.13601319309131}
 {'shared-R': 2.0883287705788165, 'deadline': 7.283254885097257, 'period': 7.283254885097257, 'exclusive-R': 2.2995100549999083}
 {'shared-R': 6.015452183773141, 'deadline': 66.93213066282163, 'period': 66.93213066282163, 'exclusive-R': 20.03931228279443}
 {'shared-R': 1.6784983126877595, 'deadline': 9.547683474091881, 'period': 9.547683474091881, 'exclusive-R': 2.8419339095771132}
 {'shared-R': 18.04405348038095, 'deadline': 50.27047567386265, 'period': 50.27047567386265, 'exclusive-R': 12.932838433845296}
 {'shared-R': 3.1276083084596955, 'deadline': 4.872691336681667, 'period': 4.872691336681667, 'exclusive-R': 0.6456004354617022}
 {'shared-R': 62.0602895975503, 'deadline': 97.2645328235537, 'period': 97.2645328235537, 'exclusive-R': 14.78244971014223}
 {'shared-R': 3.010501745201131, 'deadline': 4.119256336208327, 'period': 4.119256336208327, 'exclusive-R': 0.4644440856366927}
 {'shared-R': 41.9812865275909, 'deadline': 50.556190167716856, 'period': 50.556190167716856, 'exclusive-R': 3.43286308689532}
 {'shared-R': 4.3674368498308205, 'deadline': 4.516706643547032, 'period': 4.516706643547032, 'exclusive-R': 0.06479046421941455}
 {'shared-R': 4.757817038199287, 'deadline': 68.66479159091577, 'period': 68.66479159091577, 'exclusive-R': 21.844223600619976}
 {'shared-R': 2.588051015693911, 'deadline': 3.621032116833429, 'period': 3.621032116833429, 'exclusive-R': 0.40286369541532324}
 {'shared-R': 4.210894670194438, 'deadline': 34.14320235242076, 'period': 34.14320235242076, 'exclusive-R': 10.866358583457115}
 {'shared-R': 1.0991635601279774, 'deadline': 2.623439312974022, 'period': 2.623439312974022, 'exclusive-R': 0.5699112840563052}
 {'shared-R': 77.73924352104571, 'deadline': 82.17226950463753, 'period': 82.17226950463753, 'exclusive-R': 1.7957279969009696}
 {'shared-R': 2.1710319067113244, 'deadline': 3.1808633829850876, 'period': 3.1808633829850876, 'exclusive-R': 0.41612591099918533}
 {'shared-R': 6.897336308256882, 'deadline': 66.30183713748883, 'period': 66.30183713748883, 'exclusive-R': 24.410845326844193}
 {'shared-R': 1.059209826707575, 'deadline': 9.630236319532091, 'period': 9.630236319532091, 'exclusive-R': 2.7704919588164985}
 {'shared-R': 6.095036625796661, 'deadline': 16.606868302297094, 'period': 16.606868302297094, 'exclusive-R': 4.659693167566262}
 {'shared-R': 0.231226118667081, 'deadline': 8.551409275825991, 'period': 8.551409275825991, 'exclusive-R': 3.7349683604273185}
 {'shared-R': 8.450203905919576, 'deadline': 16.985046490933442, 'period': 16.985046490933442, 'exclusive-R': 2.7096751734568465}
 {'shared-R': 0.7366037226367977, 'deadline': 3.6720715209088404, 'period': 3.6720715209088404, 'exclusive-R': 1.0668181396197678}
