inputM/30Tasks_300_0_L.npy
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 82, 42, 42, 42, 42, 42, 133, 52, 55, 44, 43]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 81, 35, 35, 35, 35, 35, 137, 57, 43, 41, 39]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 94, 38, 35, 35, 35, 35, 153, 49, 45, 45, 39]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 79, 31, 31, 31, 31, 31, 145, 52, 49, 39, 37]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 94, 37, 37, 37, 37, 37, 161, 56, 51, 43, 43]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 93, 41, 41, 41, 41, 41, 179, 57, 47, 47, 45]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 85, 41, 41, 41, 41, 41, 145, 67, 47, 41, 41]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 73, 35, 35, 35, 35, 35, 122, 43, 37, 36, 32]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 81, 32, 32, 32, 32, 32, 146, 45, 34, 34, 34]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 88, 35, 35, 34, 34, 34, 138, 57, 49, 35, 35]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[30, 30, 30, 30, 30, 30, 88, 48, 48, 45, 45, 45, 166, 61, 56, 48, 51]
