inputM/10Tasks_100_0_S.npy
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 20, 20, 54, 54, 20, 33, 23, 23, 23, 23, 23, 54, 21, 23, 23, 21]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[18, 19, 15, 39, 39, 15, 25, 21, 21, 19, 19, 19, 39, 21, 22, 21, 16]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[11, 12, 9, 29, 29, 9, 17, 13, 13, 13, 13, 13, 29, 11, 14, 13, 11]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[17, 17, 16, 35, 35, 16, 24, 20, 20, 20, 20, 20, 35, 19, 21, 21, 18]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[26, 32, 21, 58, 57, 21, 33, 24, 24, 22, 22, 22, 57, 27, 32, 32, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 21, 13, 46, 46, 13, 29, 13, 13, 13, 13, 13, 46, 21, 13, 13, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[16, 16, 14, 39, 39, 14, 23, 16, 17, 16, 16, 17, 39, 14, 15, 16, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 20, 16, 57, 57, 16, 36, 22, 22, 22, 22, 22, 57, 21, 22, 22, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[26, 36, 21, 71, 69, 21, 51, 30, 30, 30, 30, 30, 69, 28, 30, 30, 28]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[18, 21, 18, 44, 44, 18, 29, 23, 23, 15, 15, 15, 44, 21, 23, 23, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[22, 22, 16, 56, 56, 16, 36, 28, 28, 28, 28, 28, 56, 26, 28, 28, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[14, 14, 10, 36, 36, 10, 19, 13, 13, 13, 13, 13, 36, 13, 13, 13, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[19, 13, 10, 36, 36, 10, 23, 11, 11, 11, 11, 11, 36, 14, 12, 13, 12]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[24, 24, 16, 48, 48, 16, 31, 21, 21, 21, 21, 21, 48, 26, 21, 21, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[17, 20, 15, 36, 36, 15, 21, 16, 16, 16, 16, 16, 36, 18, 16, 16, 16]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[19, 17, 12, 39, 37, 12, 22, 17, 17, 17, 17, 17, 37, 16, 17, 17, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[15, 16, 15, 48, 48, 15, 32, 20, 20, 20, 20, 20, 48, 16, 21, 20, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[24, 26, 16, 66, 62, 16, 36, 20, 20, 20, 20, 20, 62, 24, 20, 20, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[26, 26, 19, 55, 55, 19, 31, 27, 27, 27, 27, 27, 55, 26, 24, 28, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[26, 26, 20, 61, 61, 20, 40, 24, 24, 24, 24, 24, 61, 24, 24, 24, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 22, 14, 50, 50, 14, 34, 24, 24, 24, 24, 24, 50, 22, 24, 24, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 21, 14, 46, 46, 14, 34, 26, 26, 26, 26, 26, 46, 21, 27, 27, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[21, 21, 17, 40, 39, 17, 22, 21, 21, 21, 21, 21, 39, 17, 21, 21, 17]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[22, 21, 17, 57, 57, 17, 32, 20, 20, 20, 20, 20, 57, 26, 20, 20, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[13, 15, 11, 42, 42, 11, 24, 18, 18, 18, 18, 18, 42, 13, 19, 18, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[23, 26, 17, 51, 51, 17, 33, 21, 21, 21, 21, 21, 51, 22, 21, 21, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[18, 19, 14, 57, 51, 14, 33, 15, 15, 15, 15, 15, 51, 17, 22, 15, 15]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[22, 23, 14, 49, 49, 14, 31, 19, 19, 19, 19, 19, 49, 24, 19, 19, 18]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[16, 20, 14, 55, 55, 14, 33, 19, 19, 19, 19, 19, 55, 20, 19, 19, 18]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[23, 28, 17, 49, 49, 17, 32, 22, 22, 22, 22, 22, 49, 21, 22, 22, 21]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[20, 24, 18, 55, 51, 18, 45, 21, 21, 21, 21, 21, 51, 18, 21, 21, 17]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[24, 24, 18, 68, 68, 18, 50, 26, 26, 26, 26, 26, 68, 18, 26, 26, 18]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[21, 24, 15, 48, 48, 15, 33, 15, 15, 15, 15, 15, 48, 21, 19, 19, 18]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[24, 24, 18, 60, 60, 18, 40, 26, 26, 26, 26, 26, 60, 28, 26, 26, 26]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[16, 18, 14, 43, 39, 14, 30, 18, 18, 18, 18, 18, 41, 16, 18, 18, 16]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[18, 21, 15, 48, 48, 15, 27, 17, 17, 17, 17, 17, 48, 17, 19, 17, 15]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[15, 15, 13, 44, 44, 13, 28, 15, 15, 15, 15, 15, 44, 15, 16, 15, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[21, 21, 16, 42, 38, 16, 35, 25, 25, 25, 25, 25, 38, 19, 29, 29, 19]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[27, 27, 20, 56, 56, 20, 34, 30, 30, 30, 30, 30, 56, 25, 30, 30, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[28, 28, 18, 57, 55, 18, 35, 24, 24, 24, 24, 24, 55, 28, 32, 24, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[13, 13, 12, 40, 40, 12, 23, 13, 13, 13, 13, 13, 40, 14, 14, 14, 14]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[23, 24, 16, 45, 44, 16, 30, 21, 21, 17, 17, 17, 44, 23, 21, 21, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[26, 28, 18, 74, 74, 18, 44, 26, 26, 26, 26, 26, 74, 26, 26, 26, 24]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[18, 18, 14, 48, 48, 14, 30, 24, 24, 24, 24, 24, 48, 24, 24, 24, 22]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[16, 17, 12, 44, 44, 12, 27, 13, 13, 13, 13, 13, 44, 17, 13, 13, 13]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[22, 22, 18, 67, 59, 18, 37, 21, 21, 21, 21, 21, 59, 27, 21, 21, 20]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[15, 17, 14, 40, 39, 14, 28, 19, 19, 19, 19, 19, 39, 21, 21, 21, 20]
