input/20Tasks_200_L_S.npy
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 12, 5, 20, 4, 20, 4, 19, 7, 20, 6, 6]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 10, 4, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 4, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 8, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 4, 20, 4, 20, 4, 20, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 18, 4, 12, 5, 20, 4, 20, 4, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 18, 4, 11, 4, 20, 4, 20, 4, 18, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[7, 20, 4, 20, 19, 4, 11, 5, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 19, 5, 11, 5, 20, 5, 20, 5, 19, 7, 20, 6, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 19, 5, 11, 5, 20, 5, 20, 5, 19, 8, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[7, 20, 5, 20, 19, 5, 10, 5, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 10, 5, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 6, 6]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 6, 20, 4, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 4, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 11, 4, 20, 4, 20, 4, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 7, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 16, 4, 10, 5, 20, 4, 20, 4, 17, 7, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 6, 6]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 19, 5, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 19, 5, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 20, 4, 11, 4, 20, 4, 20, 4, 20, 5, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 10, 5, 20, 5, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 7, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 5, 20, 5, 20, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 13, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 19, 5, 11, 5, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 18, 4, 11, 4, 20, 4, 20, 4, 18, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 10, 4, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 10, 4, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 20, 5, 10, 5, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 5, 20, 20, 5, 11, 5, 20, 5, 20, 5, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 4, 20, 4, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 12, 4, 20, 4, 20, 4, 20, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 5, 20, 5, 20, 5, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 6, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 12, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 19, 4, 12, 4, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 4, 20, 5, 19, 7, 20, 5, 6]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 4, 20, 4, 20, 4, 20, 8, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 10, 4, 20, 4, 20, 4, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 18, 4, 11, 5, 20, 5, 20, 5, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 19, 4, 11, 4, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 18, 4, 11, 5, 20, 4, 20, 4, 18, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 17, 4, 10, 4, 20, 4, 20, 4, 18, 6, 20, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 19, 4, 11, 5, 20, 5, 20, 5, 19, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[6, 20, 4, 20, 20, 4, 11, 5, 20, 4, 20, 4, 20, 7, 20, 5, 5]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 20, 4, 20, 19, 4, 11, 4, 20, 4, 20, 4, 19, 6, 20, 4, 4]
